2023-05-21 12:17:40,041 INFO    MainThread:11185 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-21 12:17:40,052 INFO    MainThread:11185 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-05-21 12:17:40,055 INFO    MainThread:11185 [wandb_init.py:init():606] backend started and connected
2023-05-21 12:17:40,058 INFO    MainThread:11185 [wandb_init.py:init():700] updated telemetry
2023-05-21 12:17:40,078 INFO    MainThread:11185 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-21 12:17:40,655 INFO    MainThread:11185 [wandb_run.py:_on_init():2177] communicating current version
2023-05-21 12:17:41,266 INFO    MainThread:11185 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.15.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-21 12:17:41,266 INFO    MainThread:11185 [wandb_init.py:init():787] starting run threads in backend
2023-05-21 12:17:42,940 INFO    MainThread:11185 [wandb_run.py:_console_start():2158] atexit reg
2023-05-21 12:17:42,940 INFO    MainThread:11185 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-21 12:17:42,941 INFO    MainThread:11185 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-21 12:17:42,941 INFO    MainThread:11185 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-21 12:17:42,941 INFO    MainThread:11185 [wandb_init.py:init():829] run started, returning control to user process
2023-05-21 12:17:49,069 INFO    MainThread:11185 [wandb_watch.py:watch():51] Watching
2023-05-21 12:17:49,070 INFO    MainThread:11185 [wandb_run.py:_config_callback():1286] config_cb None None {'algo': 'DQN', 'policy_class': "<class 'stable_baselines3.dqn.policies.DQNPolicy'>", 'device': 'cpu', 'env': '<stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x120374b50>', '_vec_normalize_env': 'None', 'verbose': 1, 'policy_kwargs': '{}', 'num_timesteps': 0, '_total_timesteps': 50000, '_num_timesteps_at_start': 0, 'action_noise': 'None', 'start_time': 1684693069035976000, 'learning_rate': 0.0001, 'tensorboard_log': 'runs/40vfiawn', 'lr_schedule': '<function constant_fn.<locals>.func at 0x117a67ee0>', '_last_obs': '[[[ 2.5461397   0.84226555  2.9432187  ...  0.          0.\n    0.        ]\n  [ 2.5204964   0.83288145  2.9100106  ...  0.          0.\n    0.        ]\n  [ 2.4951096   0.82360274  2.8759832  ...  0.          0.\n    0.        ]\n  ...\n  [-0.17511122  0.25853667  0.79675555 ...  0.          0.\n    0.        ]\n  [-0.17354207  0.25499693  0.7827296  ...  0.          0.\n    0.        ]\n  [-0.17198859  0.25148728  0.76884407 ...  0.          0.\n    0.        ]]]', '_last_episode_starts': '[ True]', '_last_original_obs': 'None', '_episode_num': 0, 'use_sde': 'False', 'sde_sample_freq': -1, '_current_progress_remaining': 1, '_stats_window_size': 100, 'ep_info_buffer': 'deque([], maxlen=100)', 'ep_success_buffer': 'deque([], maxlen=100)', '_n_updates': 0, '_logger': '<stable_baselines3.common.logger.Logger object at 0x12312a940>', '_custom_logger': 'False', 'observation_space': 'Box([[-10. -10. -10. ... -10. -10. -10.]\n [-10. -10. -10. ... -10. -10. -10.]\n [-10. -10. -10. ... -10. -10. -10.]\n ...\n [-10. -10. -10. ... -10. -10. -10.]\n [-10. -10. -10. ... -10. -10. -10.]\n [-10. -10. -10. ... -10. -10. -10.]], [[10. 10. 10. ... 10. 10. 10.]\n [10. 10. 10. ... 10. 10. 10.]\n [10. 10. 10. ... 10. 10. 10.]\n ...\n [10. 10. 10. ... 10. 10. 10.]\n [10. 10. 10. ... 10. 10. 10.]\n [10. 10. 10. ... 10. 10. 10.]], (100, 174), float32)', 'action_space': 'Discrete(17)', 'n_envs': 1, 'buffer_size': 10000, 'batch_size': 32, 'learning_starts': 50000, 'tau': 1.0, 'gamma': 0.99, 'gradient_steps': 1, 'optimize_memory_usage': 'False', 'replay_buffer_class': "<class 'stable_baselines3.common.buffers.ReplayBuffer'>", 'replay_buffer_kwargs': '{}', '_episode_storage': 'None', 'train_freq': "TrainFreq(frequency=4, unit=<TrainFrequencyUnit.STEP: 'step'>)", 'actor': 'None', 'replay_buffer': '<stable_baselines3.common.buffers.ReplayBuffer object at 0x123069d90>', 'use_sde_at_warmup': 'False', 'exploration_initial_eps': 1.0, 'exploration_final_eps': 0.05, 'exploration_fraction': 0.1, 'target_update_interval': 10000, '_n_calls': 0, 'max_grad_norm': 10, 'exploration_rate': 0.0, 'policy': 'DQNPolicy(\n  (q_net): QNetwork(\n    (features_extractor): FlattenExtractor(\n      (flatten): Flatten(start_dim=1, end_dim=-1)\n    )\n    (q_net): Sequential(\n      (0): Linear(in_features=17400, out_features=64, bias=True)\n      (1): ReLU()\n      (2): Linear(in_features=64, out_features=64, bias=True)\n      (3): ReLU()\n      (4): Linear(in_features=64, out_features=17, bias=True)\n    )\n  )\n  (q_net_target): QNetwork(\n    (features_extractor): FlattenExtractor(\n      (flatten): Flatten(start_dim=1, end_dim=-1)\n    )\n    (q_net): Sequential(\n      (0): Linear(in_features=17400, out_features=64, bias=True)\n      (1): ReLU()\n      (2): Linear(in_features=64, out_features=64, bias=True)\n      (3): ReLU()\n      (4): Linear(in_features=64, out_features=17, bias=True)\n    )\n  )\n)', 'q_net': 'QNetwork(\n  (features_extractor): FlattenExtractor(\n    (flatten): Flatten(start_dim=1, end_dim=-1)\n  )\n  (q_net): Sequential(\n    (0): Linear(in_features=17400, out_features=64, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=64, out_features=64, bias=True)\n    (3): ReLU()\n    (4): Linear(in_features=64, out_features=17, bias=True)\n  )\n)', 'q_net_target': 'QNetwork(\n  (features_extractor): FlattenExtractor(\n    (flatten): Flatten(start_dim=1, end_dim=-1)\n  )\n  (q_net): Sequential(\n    (0): Linear(in_features=17400, out_features=64, bias=True)\n    (1): ReLU()\n    (2): Linear(in_features=64, out_features=64, bias=True)\n    (3): ReLU()\n    (4): Linear(in_features=64, out_features=17, bias=True)\n  )\n)', 'batch_norm_stats': '[]', 'batch_norm_stats_target': '[]', 'exploration_schedule': '<function get_linear_fn.<locals>.func at 0x123121ca0>'}
2023-05-21 12:18:06,476 INFO    MainThread:11185 [sb3.py:save_model():153] Saving model checkpoint to models/40vfiawn/model.zip
2023-05-21 12:18:06,477 INFO    MainThread:11185 [wandb_run.py:_finish():1893] finishing run mrtm/thesis/40vfiawn
2023-05-21 12:18:06,477 INFO    MainThread:11185 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2023-05-21 12:18:06,477 INFO    MainThread:11185 [wandb_run.py:_restore():2110] restore
2023-05-21 12:18:06,477 INFO    MainThread:11185 [wandb_run.py:_restore():2116] restore done
2023-05-21 12:18:17,455 INFO    MainThread:11185 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2023-05-21 12:18:17,456 INFO    MainThread:11185 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2023-05-21 12:18:17,465 INFO    MainThread:11185 [wandb_run.py:_footer_sync_info():3428] logging synced files
